logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:44:15.963732+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,0.0
2026-03-19T03:44:17.002109+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,1.017921
2026-03-19T03:44:18.016433+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,2.056318
2026-03-19T03:44:19.032741+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,3.070624
2026-03-19T03:44:20.048536+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,4.086891
2026-03-19T03:44:21.062351+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,5.102773
2026-03-19T03:44:22.076446+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,6.11233
2026-03-19T03:44:23.096330+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,7.129311
2026-03-19T03:44:24.145012+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,8.147568
2026-03-19T03:44:25.194106+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,9.19922
2026-03-19T03:44:26.242327+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,10.245861
2026-03-19T03:44:27.292024+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,11.296537
2026-03-19T03:44:28.342220+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,12.342802
2026-03-19T03:44:29.397586+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,13.396209
2026-03-19T03:44:30.436859+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,14.448933
2026-03-19T03:44:31.531691+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,15.488325
2026-03-19T03:44:32.559855+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,16.585914
2026-03-19T03:44:33.582245+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,17.614013
2026-03-19T03:44:34.636233+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,18.633611
2026-03-19T03:44:35.683801+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,19.690494
2026-03-19T03:44:36.732005+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,20.738021
2026-03-19T03:44:37.777311+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,21.786214
2026-03-19T03:44:38.828989+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,22.827106
2026-03-19T03:44:39.889529+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,23.883274
2026-03-19T03:44:40.923862+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,24.943763
2026-03-19T03:44:41.971402+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,25.973709
2026-03-19T03:44:43.023696+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,27.025608
2026-03-19T03:44:44.074907+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,28.077882
2026-03-19T03:44:45.116339+00:00,single_constant,constant,1003,80.0,80.0,0.0,0.0,29.129076
