logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:43:03.597607+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,0.0
2026-03-19T03:43:04.610599+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,1.01711
2026-03-19T03:43:05.622575+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,2.029605
2026-03-19T03:43:06.641304+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,3.0411
2026-03-19T03:43:07.654983+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,4.060819
2026-03-19T03:43:08.665209+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,5.069809
2026-03-19T03:43:09.716834+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,6.080995
2026-03-19T03:43:10.743649+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,7.136406
2026-03-19T03:43:11.795859+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,8.16322
2026-03-19T03:43:12.844921+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,9.215433
2026-03-19T03:43:13.893428+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,10.264527
2026-03-19T03:43:14.944222+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,11.313008
2026-03-19T03:43:15.990752+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,12.362389
2026-03-19T03:43:17.045707+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,13.410324
2026-03-19T03:43:18.093558+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,14.463001
2026-03-19T03:43:19.141726+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,15.508628
2026-03-19T03:43:20.184475+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,16.559687
2026-03-19T03:43:21.231686+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,17.604086
2026-03-19T03:43:22.286628+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,18.646878
2026-03-19T03:43:23.326819+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,19.701809
2026-03-19T03:43:24.385427+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,20.746351
2026-03-19T03:43:25.427359+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,21.801293
2026-03-19T03:43:26.496621+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,22.846939
2026-03-19T03:43:27.522701+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,23.91275
2026-03-19T03:43:28.573868+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,24.942302
2026-03-19T03:43:29.625820+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,25.993399
2026-03-19T03:43:30.668027+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,27.042333
2026-03-19T03:43:31.723822+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,28.087245
2026-03-19T03:43:32.767226+00:00,single_constant,constant,1001,20.0,20.0,0.0,0.0,29.143392
