logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:43:39.808339+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,0.0
2026-03-19T03:43:40.823524+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,1.01835
2026-03-19T03:43:41.837335+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,2.0336
2026-03-19T03:43:42.848131+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,3.044714
2026-03-19T03:43:43.861868+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,4.058169
2026-03-19T03:43:44.875209+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,5.069966
2026-03-19T03:43:45.891986+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,6.083689
2026-03-19T03:43:46.933662+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,7.102053
2026-03-19T03:43:47.947341+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,8.143725
2026-03-19T03:43:48.963120+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,9.157414
2026-03-19T03:43:49.971202+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,10.168182
2026-03-19T03:43:50.984505+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,11.181225
2026-03-19T03:43:51.998020+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,12.192889
2026-03-19T03:43:53.014259+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,13.207109
2026-03-19T03:43:54.029147+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,14.224306
2026-03-19T03:43:55.042499+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,15.238124
2026-03-19T03:43:56.058684+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,16.252569
2026-03-19T03:43:57.078626+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,17.268796
2026-03-19T03:43:58.102454+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,18.286194
2026-03-19T03:43:59.145155+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,19.312524
2026-03-19T03:44:00.157302+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,20.353594
2026-03-19T03:44:01.183846+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,21.367415
2026-03-19T03:44:02.197716+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,22.390827
2026-03-19T03:44:03.252544+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,23.405724
2026-03-19T03:44:04.273398+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,24.462618
2026-03-19T03:44:05.287667+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,25.48348
2026-03-19T03:44:06.321300+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,26.4964
2026-03-19T03:44:07.367762+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,27.526633
2026-03-19T03:44:08.421322+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,28.577386
2026-03-19T03:44:09.472162+00:00,single_constant,constant,1002,50.0,50.0,0.0,0.0,29.629553
