logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:49:14.135441+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,0.0
2026-03-19T03:49:15.166093+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,1.046367
2026-03-19T03:49:16.174541+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,2.075824
2026-03-19T03:49:17.190638+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,3.085446
2026-03-19T03:49:18.207519+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,4.100303
2026-03-19T03:49:19.243557+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,5.118437
2026-03-19T03:49:20.292015+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,6.154543
2026-03-19T03:49:21.345539+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,7.201358
2026-03-19T03:49:22.403658+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,8.251592
2026-03-19T03:49:23.434431+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,9.314606
2026-03-19T03:49:24.484131+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,10.345382
2026-03-19T03:49:25.528881+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,11.395096
2026-03-19T03:49:26.578105+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,12.438109
2026-03-19T03:49:27.629036+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,13.488801
2026-03-19T03:49:28.675579+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,14.539977
2026-03-19T03:49:29.724271+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,15.586487
2026-03-19T03:49:30.774124+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,16.631509
2026-03-19T03:49:31.838180+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,17.685141
2026-03-19T03:49:32.870768+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,18.749136
2026-03-19T03:49:33.922010+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,19.778905
2026-03-19T03:49:34.972135+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,20.832982
2026-03-19T03:49:36.036703+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,21.883055
2026-03-19T03:49:37.063433+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,22.947643
2026-03-19T03:49:38.116311+00:00,single_square,square,2003,90.0,80.0,10.0,0.02,23.974425
2026-03-19T03:49:39.167500+00:00,single_square,square,2003,70.0,80.0,10.0,0.02,25.025113
2026-03-19T03:49:40.212456+00:00,single_square,square,2003,70.0,80.0,10.0,0.02,26.076626
2026-03-19T03:49:41.257423+00:00,single_square,square,2003,70.0,80.0,10.0,0.02,27.123419
2026-03-19T03:49:42.322944+00:00,single_square,square,2003,70.0,80.0,10.0,0.02,28.167864
2026-03-19T03:49:43.357384+00:00,single_square,square,2003,70.0,80.0,10.0,0.02,29.229315
