timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:32:00.030000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.078000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.126000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.172000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.220000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.267000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.322000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.371000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.418000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.473000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.519000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.566000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.613000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.659000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.706000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.752000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.8,0,2002
2026-03-16T18:32:00.799000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.700000000000003,0,2002
2026-03-16T18:32:00.846000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.700000000000003,0,2002
2026-03-16T18:32:00.892000+00:00,BELIMO-8,P2_HIGH_SQUARE_001,square,80.0,10.0,0.02,step-response identification in high operating region,unreviewed,,,70.01,70.0,0.0,0.0,26.700000000000003,0,2002
