logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:44:52.048829+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,0.0
2026-03-19T03:44:53.062431+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,1.020968
2026-03-19T03:44:54.098177+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,2.033943
2026-03-19T03:44:55.117644+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,3.069042
2026-03-19T03:44:56.132061+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,4.089531
2026-03-19T03:44:57.145348+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,5.102362
2026-03-19T03:44:58.157089+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,6.114378
2026-03-19T03:44:59.169703+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,7.127352
2026-03-19T03:45:00.183558+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,8.14164
2026-03-19T03:45:01.197767+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,9.15573
2026-03-19T03:45:02.211748+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,10.169923
2026-03-19T03:45:03.225106+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,11.180994
2026-03-19T03:45:04.239438+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,12.1972
2026-03-19T03:45:05.247257+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,13.206903
2026-03-19T03:45:06.262108+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,14.21941
2026-03-19T03:45:07.275956+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,15.233222
2026-03-19T03:45:08.291089+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,16.247215
2026-03-19T03:45:09.303171+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,17.26328
2026-03-19T03:45:10.317246+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,18.275325
2026-03-19T03:45:11.338384+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,19.285969
2026-03-19T03:45:12.386739+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,20.30958
2026-03-19T03:45:13.432181+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,21.355885
2026-03-19T03:45:14.512264+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,22.401682
2026-03-19T03:45:15.532503+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,23.484483
2026-03-19T03:45:16.579671+00:00,single_square,square,2001,30.0,20.0,10.0,0.02,24.501662
2026-03-19T03:45:17.633152+00:00,single_square,square,2001,10.0,20.0,10.0,0.02,25.551238
2026-03-19T03:45:18.676541+00:00,single_square,square,2001,10.0,20.0,10.0,0.02,26.602721
