timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:27:37.791000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:37.838000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:37.886000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:37.934000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:37.980000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.027000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.073000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.120000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.167000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.213000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.260000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.306000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.354000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.403000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.449000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.496000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.542000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.589000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.646000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.692000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.739000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.786000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.833000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.880000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
2026-03-16T18:27:38.926000+00:00,BELIMO-8,P2_LOW_SQUARE_001,square,20.0,10.0,0.02,step-response identification in low operating region,unreviewed,,,80.0,80.0,0.0,0.0,26.400000000000002,0,1003
