logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:47:02.897644+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,0.0
2026-03-19T03:47:03.915559+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,1.023736
2026-03-19T03:47:04.939510+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,2.041519
2026-03-19T03:47:05.954552+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,3.065667
2026-03-19T03:47:06.970044+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,4.079411
2026-03-19T03:47:07.986222+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,5.096127
2026-03-19T03:47:09.004018+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,6.112331
2026-03-19T03:47:10.445367+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,7.130142
2026-03-19T03:47:11.461989+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,8.571054
2026-03-19T03:47:12.472859+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,9.58462
2026-03-19T03:47:13.485411+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,10.596837
2026-03-19T03:47:14.499487+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,11.611541
2026-03-19T03:47:15.513000+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,12.624841
2026-03-19T03:47:16.532432+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,13.639133
2026-03-19T03:47:17.543386+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,14.655377
2026-03-19T03:47:18.557942+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,15.669525
2026-03-19T03:47:19.571187+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,16.684075
2026-03-19T03:47:20.585496+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,17.697324
2026-03-19T03:47:21.615719+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,18.708444
2026-03-19T03:47:22.630240+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,19.741761
2026-03-19T03:47:23.645068+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,20.755377
2026-03-19T03:47:24.659714+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,21.770483
2026-03-19T03:47:25.676474+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,22.785848
2026-03-19T03:47:26.711635+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,23.80263
2026-03-19T03:47:27.723969+00:00,single_square,square,2002,70.0,50.0,20.0,0.02,24.833897
2026-03-19T03:47:28.736633+00:00,single_square,square,2002,30.0,50.0,20.0,0.02,25.846745
2026-03-19T03:47:29.830048+00:00,single_square,square,2002,30.0,50.0,20.0,0.02,26.862745
2026-03-19T03:47:30.846850+00:00,single_square,square,2002,30.0,50.0,20.0,0.02,27.956183
2026-03-19T03:47:31.859889+00:00,single_square,square,2002,30.0,50.0,20.0,0.02,28.973001
