logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:55:46.275776+00:00,single_triangle,triangle,3003,80.0,80.0,10.0,0.04,0.0
2026-03-19T03:55:47.293631+00:00,single_triangle,triangle,3003,81.703714,80.0,10.0,0.04,1.064821
2026-03-19T03:55:48.331112+00:00,single_triangle,triangle,3003,83.334846,80.0,10.0,0.04,2.084278
2026-03-19T03:55:49.356280+00:00,single_triangle,triangle,3003,84.985938,80.0,10.0,0.04,3.116212
2026-03-19T03:55:50.368381+00:00,single_triangle,triangle,3003,86.631637,80.0,10.0,0.04,4.144773
2026-03-19T03:55:51.381917+00:00,single_triangle,triangle,3003,88.246528,80.0,10.0,0.04,5.15408
2026-03-19T03:55:52.394479+00:00,single_triangle,triangle,3003,89.87301,80.0,10.0,0.04,6.170631
2026-03-19T03:55:53.401460+00:00,single_triangle,triangle,3003,88.513623,80.0,10.0,0.04,7.178986
2026-03-19T03:55:54.414248+00:00,single_triangle,triangle,3003,86.895709,80.0,10.0,0.04,8.190182
2026-03-19T03:55:55.430358+00:00,single_triangle,triangle,3003,85.27709,80.0,10.0,0.04,9.201819
2026-03-19T03:55:56.458915+00:00,single_triangle,triangle,3003,83.655345,80.0,10.0,0.04,10.215409
2026-03-19T03:55:57.471322+00:00,single_triangle,triangle,3003,82.006144,80.0,10.0,0.04,11.24616
2026-03-19T03:55:58.487931+00:00,single_triangle,triangle,3003,80.383161,80.0,10.0,0.04,12.260525
2026-03-19T03:55:59.502514+00:00,single_triangle,triangle,3003,78.759462,80.0,10.0,0.04,13.275337
2026-03-19T03:56:00.532939+00:00,single_triangle,triangle,3003,77.133731,80.0,10.0,0.04,14.291418
2026-03-19T03:56:01.547274+00:00,single_triangle,triangle,3003,75.484619,80.0,10.0,0.04,15.322113
2026-03-19T03:56:02.558789+00:00,single_triangle,triangle,3003,73.866143,80.0,10.0,0.04,16.333661
2026-03-19T03:56:03.575686+00:00,single_triangle,triangle,3003,72.243177,80.0,10.0,0.04,17.348015
2026-03-19T03:56:04.596862+00:00,single_triangle,triangle,3003,70.616237,80.0,10.0,0.04,18.364852
2026-03-19T03:56:05.616789+00:00,single_triangle,triangle,3003,71.017626,80.0,10.0,0.04,19.386016
2026-03-19T03:56:06.629437+00:00,single_triangle,triangle,3003,72.64953,80.0,10.0,0.04,20.405956
2026-03-19T03:56:07.645064+00:00,single_triangle,triangle,3003,74.269826,80.0,10.0,0.04,21.418641
2026-03-19T03:56:08.658524+00:00,single_triangle,triangle,3003,75.894779,80.0,10.0,0.04,22.434237
2026-03-19T03:56:09.697745+00:00,single_triangle,triangle,3003,77.51193,80.0,10.0,0.04,23.444956
2026-03-19T03:56:10.707718+00:00,single_triangle,triangle,3003,79.172858,80.0,10.0,0.04,24.483036
2026-03-19T03:56:11.725443+00:00,single_triangle,triangle,3003,80.793853,80.0,10.0,0.04,25.496158
2026-03-19T03:56:12.738346+00:00,single_triangle,triangle,3003,82.418631,80.0,10.0,0.04,26.511645
2026-03-19T03:56:13.750905+00:00,single_triangle,triangle,3003,84.037554,80.0,10.0,0.04,27.523471
2026-03-19T03:56:14.761348+00:00,single_triangle,triangle,3003,85.658663,80.0,10.0,0.04,28.536665
2026-03-19T03:56:15.772441+00:00,single_triangle,triangle,3003,87.275249,80.0,10.0,0.04,29.54703
2026-03-19T03:56:16.786218+00:00,single_triangle,triangle,3003,88.892265,80.0,10.0,0.04,30.557666
2026-03-19T03:56:17.802199+00:00,single_triangle,triangle,3003,89.479744,80.0,10.0,0.04,31.57516
2026-03-19T03:56:18.815762+00:00,single_triangle,triangle,3003,87.855457,80.0,10.0,0.04,32.59034
2026-03-19T03:56:19.841886+00:00,single_triangle,triangle,3003,86.232324,80.0,10.0,0.04,33.604798
2026-03-19T03:56:20.870183+00:00,single_triangle,triangle,3003,84.590307,80.0,10.0,0.04,34.631058
2026-03-19T03:56:21.879802+00:00,single_triangle,triangle,3003,82.952271,80.0,10.0,0.04,35.654831
2026-03-19T03:56:22.891545+00:00,single_triangle,triangle,3003,81.333172,80.0,10.0,0.04,36.666767
2026-03-19T03:56:23.926238+00:00,single_triangle,triangle,3003,79.71086,80.0,10.0,0.04,37.680712
2026-03-19T03:56:24.992790+00:00,single_triangle,triangle,3003,78.055519,80.0,10.0,0.04,38.715301
2026-03-19T03:56:26.031194+00:00,single_triangle,triangle,3003,76.348874,80.0,10.0,0.04,39.781954
2026-03-19T03:56:27.069238+00:00,single_triangle,triangle,3003,74.689926,80.0,10.0,0.04,40.818796
2026-03-19T03:56:28.121862+00:00,single_triangle,triangle,3003,73.02653,80.0,10.0,0.04,41.858419
2026-03-19T03:56:29.187530+00:00,single_triangle,triangle,3003,71.342347,80.0,10.0,0.04,42.911033
2026-03-19T03:56:30.248805+00:00,single_triangle,triangle,3003,70.355597,80.0,10.0,0.04,43.972248
2026-03-19T03:56:31.266941+00:00,single_triangle,triangle,3003,72.06075,80.0,10.0,0.04,45.037969
2026-03-19T03:56:32.319774+00:00,single_triangle,triangle,3003,73.687556,80.0,10.0,0.04,46.054723
2026-03-19T03:56:33.361241+00:00,single_triangle,triangle,3003,75.374334,80.0,10.0,0.04,47.108959
2026-03-19T03:56:34.416479+00:00,single_triangle,triangle,3003,77.039979,80.0,10.0,0.04,48.149987
2026-03-19T03:56:35.459441+00:00,single_triangle,triangle,3003,78.727032,80.0,10.0,0.04,49.204395
2026-03-19T03:56:36.507836+00:00,single_triangle,triangle,3003,80.397714,80.0,10.0,0.04,50.248571
2026-03-19T03:56:37.559366+00:00,single_triangle,triangle,3003,82.07521,80.0,10.0,0.04,51.297006
2026-03-19T03:56:38.605633+00:00,single_triangle,triangle,3003,83.757772,80.0,10.0,0.04,52.348608
2026-03-19T03:56:39.652437+00:00,single_triangle,triangle,3003,85.431693,80.0,10.0,0.04,53.394808
2026-03-19T03:56:40.704296+00:00,single_triangle,triangle,3003,87.106107,80.0,10.0,0.04,54.441317
2026-03-19T03:56:41.749000+00:00,single_triangle,triangle,3003,88.789545,80.0,10.0,0.04,55.493465
2026-03-19T03:56:42.815307+00:00,single_triangle,triangle,3003,89.538903,80.0,10.0,0.04,56.538185
2026-03-19T03:56:43.848079+00:00,single_triangle,triangle,3003,87.83522,80.0,10.0,0.04,57.602987
2026-03-19T03:56:44.910180+00:00,single_triangle,triangle,3003,86.182635,80.0,10.0,0.04,58.635853
2026-03-19T03:56:45.948006+00:00,single_triangle,triangle,3003,84.481011,80.0,10.0,0.04,59.699368
2026-03-19T03:56:47.013038+00:00,single_triangle,triangle,3003,82.821947,80.0,10.0,0.04,60.736283
2026-03-19T03:56:48.041755+00:00,single_triangle,triangle,3003,81.123364,80.0,10.0,0.04,61.797897
2026-03-19T03:56:49.094920+00:00,single_triangle,triangle,3003,79.471796,80.0,10.0,0.04,62.830128
2026-03-19T03:56:50.140280+00:00,single_triangle,triangle,3003,77.786425,80.0,10.0,0.04,63.883485
2026-03-19T03:56:51.188666+00:00,single_triangle,triangle,3003,76.112879,80.0,10.0,0.04,64.929451
2026-03-19T03:56:52.237523+00:00,single_triangle,triangle,3003,74.435448,80.0,10.0,0.04,65.977845
2026-03-19T03:56:53.284858+00:00,single_triangle,triangle,3003,72.757245,80.0,10.0,0.04,67.026722
2026-03-19T03:56:54.332091+00:00,single_triangle,triangle,3003,71.088712,80.0,10.0,0.04,68.069555
2026-03-19T03:56:55.383564+00:00,single_triangle,triangle,3003,70.594016,80.0,10.0,0.04,69.12126
2026-03-19T03:56:56.430551+00:00,single_triangle,triangle,3003,72.276368,80.0,10.0,0.04,70.17273
2026-03-19T03:56:57.482670+00:00,single_triangle,triangle,3003,73.951217,80.0,10.0,0.04,71.219511
2026-03-19T03:56:58.542954+00:00,single_triangle,triangle,3003,75.632934,80.0,10.0,0.04,72.270584
2026-03-19T03:56:59.589455+00:00,single_triangle,triangle,3003,77.328197,80.0,10.0,0.04,73.330123
2026-03-19T03:57:00.625396+00:00,single_triangle,triangle,3003,78.998902,80.0,10.0,0.04,74.374314
2026-03-19T03:57:01.674441+00:00,single_triangle,triangle,3003,80.663282,80.0,10.0,0.04,75.414552
2026-03-19T03:57:02.758410+00:00,single_triangle,triangle,3003,82.339514,80.0,10.0,0.04,76.462197
2026-03-19T03:57:03.775629+00:00,single_triangle,triangle,3003,84.072831,80.0,10.0,0.04,77.54552
2026-03-19T03:57:04.821942+00:00,single_triangle,triangle,3003,85.698358,80.0,10.0,0.04,78.561474
2026-03-19T03:57:05.867985+00:00,single_triangle,triangle,3003,87.377742,80.0,10.0,0.04,79.611089
2026-03-19T03:57:06.917043+00:00,single_triangle,triangle,3003,89.044394,80.0,10.0,0.04,80.652746
2026-03-19T03:57:07.963467+00:00,single_triangle,triangle,3003,89.2763,80.0,10.0,0.04,81.702313
2026-03-19T03:57:09.020017+00:00,single_triangle,triangle,3003,87.595749,80.0,10.0,0.04,82.752657
2026-03-19T03:57:10.062174+00:00,single_triangle,triangle,3003,85.905265,80.0,10.0,0.04,83.80921
2026-03-19T03:57:11.113092+00:00,single_triangle,triangle,3003,84.241571,80.0,10.0,0.04,84.849018
2026-03-19T03:57:12.163040+00:00,single_triangle,triangle,3003,82.556309,80.0,10.0,0.04,85.902307
2026-03-19T03:57:13.208832+00:00,single_triangle,triangle,3003,80.876419,80.0,10.0,0.04,86.952238
