timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:38:31.925000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.3,0,3002
2026-03-16T18:38:31.971000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.3,0,3002
2026-03-16T18:38:32.018000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.3,0,3002
2026-03-16T18:38:32.065000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.3,0,3002
2026-03-16T18:38:32.111000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.3,0,3002
2026-03-16T18:38:32.158000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.205000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.251000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.298000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.344000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.391000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.442000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.489000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.536000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.582000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.629000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.676000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.726000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.773000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.819000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.866000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.913000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:32.959000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.006000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.052000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.099000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.146000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.192000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.239000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.285000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.332000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.379000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.425000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.472000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.526000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.573000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.200000000000003,0,3002
2026-03-16T18:38:33.620000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.1,0,3002
2026-03-16T18:38:33.670000+00:00,BELIMO-8,P3_HIGH_TRIANGLE_001,triangle,80.0,10.0,0.04,faster ramp tracking and hysteresis in high region,unreviewed,,,59.49,59.517786,0.0,0.0,28.1,0,3002
