logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:51:25.092154+00:00,single_triangle,triangle,3001,20.0,20.0,10.0,0.02,0.0
2026-03-19T03:51:26.119946+00:00,single_triangle,triangle,3001,20.876087,20.0,10.0,0.02,1.095109
2026-03-19T03:51:27.162584+00:00,single_triangle,triangle,3001,21.696093,20.0,10.0,0.02,2.120116
2026-03-19T03:51:28.213139+00:00,single_triangle,triangle,3001,22.530265,20.0,10.0,0.02,3.162831
2026-03-19T03:51:29.259910+00:00,single_triangle,triangle,3001,23.372894,20.0,10.0,0.02,4.216118
2026-03-19T03:51:30.310527+00:00,single_triangle,triangle,3001,24.210274,20.0,10.0,0.02,5.262843
2026-03-19T03:51:31.356117+00:00,single_triangle,triangle,3001,25.048558,20.0,10.0,0.02,6.310697
2026-03-19T03:51:32.417750+00:00,single_triangle,triangle,3001,25.883617,20.0,10.0,0.02,7.354521
2026-03-19T03:51:33.488176+00:00,single_triangle,triangle,3001,26.736309,20.0,10.0,0.02,8.420386
2026-03-19T03:51:34.507304+00:00,single_triangle,triangle,3001,27.592381,20.0,10.0,0.02,9.490477
2026-03-19T03:51:35.552910+00:00,single_triangle,triangle,3001,28.408229,20.0,10.0,0.02,10.510286
2026-03-19T03:51:36.616114+00:00,single_triangle,triangle,3001,29.244677,20.0,10.0,0.02,11.555847
2026-03-19T03:51:37.650414+00:00,single_triangle,triangle,3001,29.90474,20.0,10.0,0.02,12.619074
2026-03-19T03:51:38.696531+00:00,single_triangle,triangle,3001,29.077667,20.0,10.0,0.02,13.652916
2026-03-19T03:51:39.748793+00:00,single_triangle,triangle,3001,28.243158,20.0,10.0,0.02,14.696052
2026-03-19T03:51:40.794484+00:00,single_triangle,triangle,3001,27.400691,20.0,10.0,0.02,15.749136
2026-03-19T03:51:41.855918+00:00,single_triangle,triangle,3001,26.562056,20.0,10.0,0.02,16.797431
2026-03-19T03:51:42.903976+00:00,single_triangle,triangle,3001,25.712911,20.0,10.0,0.02,17.858861
2026-03-19T03:51:43.950530+00:00,single_triangle,triangle,3001,24.874493,20.0,10.0,0.02,18.906884
2026-03-19T03:51:44.997957+00:00,single_triangle,triangle,3001,24.040609,20.0,10.0,0.02,19.949239
2026-03-19T03:51:46.039837+00:00,single_triangle,triangle,3001,23.200739,20.0,10.0,0.02,20.999076
2026-03-19T03:51:47.085428+00:00,single_triangle,triangle,3001,22.367414,20.0,10.0,0.02,22.040733
2026-03-19T03:51:48.131446+00:00,single_triangle,triangle,3001,21.529986,20.0,10.0,0.02,23.087518
2026-03-19T03:51:49.197159+00:00,single_triangle,triangle,3001,20.695316,20.0,10.0,0.02,24.130856
2026-03-19T03:51:50.231803+00:00,single_triangle,triangle,3001,19.840777,20.0,10.0,0.02,25.199029
2026-03-19T03:51:51.290887+00:00,single_triangle,triangle,3001,19.012216,20.0,10.0,0.02,26.23473
2026-03-19T03:51:52.327135+00:00,single_triangle,triangle,3001,18.164921,20.0,10.0,0.02,27.293849
2026-03-19T03:51:53.376873+00:00,single_triangle,triangle,3001,17.339846,20.0,10.0,0.02,28.325192
2026-03-19T03:51:54.423884+00:00,single_triangle,triangle,3001,16.496135,20.0,10.0,0.02,29.379831
2026-03-19T03:51:55.475181+00:00,single_triangle,triangle,3001,15.658523,20.0,10.0,0.02,30.426846
2026-03-19T03:51:56.524356+00:00,single_triangle,triangle,3001,14.817495,20.0,10.0,0.02,31.478132
2026-03-19T03:51:57.574239+00:00,single_triangle,triangle,3001,13.978146,20.0,10.0,0.02,32.527317
2026-03-19T03:51:58.624842+00:00,single_triangle,triangle,3001,13.140406,20.0,10.0,0.02,33.574492
2026-03-19T03:51:59.673866+00:00,single_triangle,triangle,3001,12.297701,20.0,10.0,0.02,34.627874
2026-03-19T03:52:00.718323+00:00,single_triangle,triangle,3001,11.46086,20.0,10.0,0.02,35.673925
2026-03-19T03:52:01.994660+00:00,single_triangle,triangle,3001,10.622978,20.0,10.0,0.02,36.721278
2026-03-19T03:52:03.006304+00:00,single_triangle,triangle,3001,10.39417,20.0,10.0,0.02,37.992712
2026-03-19T03:52:04.023223+00:00,single_triangle,triangle,3001,11.20737,20.0,10.0,0.02,39.009212
2026-03-19T03:52:05.039677+00:00,single_triangle,triangle,3001,12.020947,20.0,10.0,0.02,40.026184
2026-03-19T03:52:06.053707+00:00,single_triangle,triangle,3001,12.834105,20.0,10.0,0.02,41.042632
2026-03-19T03:52:07.070468+00:00,single_triangle,triangle,3001,13.643293,20.0,10.0,0.02,42.054117
2026-03-19T03:52:08.086478+00:00,single_triangle,triangle,3001,14.458747,20.0,10.0,0.02,43.073434
2026-03-19T03:52:09.105394+00:00,single_triangle,triangle,3001,15.271513,20.0,10.0,0.02,44.089391
2026-03-19T03:52:10.153167+00:00,single_triangle,triangle,3001,16.085968,20.0,10.0,0.02,45.10746
2026-03-19T03:52:11.207927+00:00,single_triangle,triangle,3001,16.921156,20.0,10.0,0.02,46.151445
2026-03-19T03:52:12.265226+00:00,single_triangle,triangle,3001,17.766563,20.0,10.0,0.02,47.208204
2026-03-19T03:52:13.299962+00:00,single_triangle,triangle,3001,18.612033,20.0,10.0,0.02,48.265041
2026-03-19T03:52:14.349468+00:00,single_triangle,triangle,3001,19.442303,20.0,10.0,0.02,49.302879
2026-03-19T03:52:15.396686+00:00,single_triangle,triangle,3001,20.281931,20.0,10.0,0.02,50.352414
2026-03-19T03:52:16.452285+00:00,single_triangle,triangle,3001,21.119692,20.0,10.0,0.02,51.399615
2026-03-19T03:52:17.521479+00:00,single_triangle,triangle,3001,21.964206,20.0,10.0,0.02,52.455257
2026-03-19T03:52:18.556362+00:00,single_triangle,triangle,3001,22.819408,20.0,10.0,0.02,53.52426
2026-03-19T03:52:19.606090+00:00,single_triangle,triangle,3001,23.647424,20.0,10.0,0.02,54.559279
2026-03-19T03:52:20.657923+00:00,single_triangle,triangle,3001,24.486662,20.0,10.0,0.02,55.608327
2026-03-19T03:52:21.704287+00:00,single_triangle,triangle,3001,25.325694,20.0,10.0,0.02,56.657117
2026-03-19T03:52:22.752840+00:00,single_triangle,triangle,3001,26.165771,20.0,10.0,0.02,57.707214
2026-03-19T03:52:23.803326+00:00,single_triangle,triangle,3001,27.001139,20.0,10.0,0.02,58.751423
2026-03-19T03:52:24.864632+00:00,single_triangle,triangle,3001,27.8446,20.0,10.0,0.02,59.80575
2026-03-19T03:52:25.899830+00:00,single_triangle,triangle,3001,28.694074,20.0,10.0,0.02,60.867592
2026-03-19T03:52:26.946830+00:00,single_triangle,triangle,3001,29.521913,20.0,10.0,0.02,61.902392
2026-03-19T03:52:27.997093+00:00,single_triangle,triangle,3001,29.640126,20.0,10.0,0.02,62.949842
2026-03-19T03:52:29.062997+00:00,single_triangle,triangle,3001,28.799994,20.0,10.0,0.02,64.000008
2026-03-19T03:52:30.101233+00:00,single_triangle,triangle,3001,27.950663,20.0,10.0,0.02,65.061671
2026-03-19T03:52:31.164253+00:00,single_triangle,triangle,3001,27.119827,20.0,10.0,0.02,66.100217
2026-03-19T03:52:32.197289+00:00,single_triangle,triangle,3001,26.267346,20.0,10.0,0.02,67.165817
2026-03-19T03:52:33.272549+00:00,single_triangle,triangle,3001,25.439825,20.0,10.0,0.02,68.200219
2026-03-19T03:52:34.291087+00:00,single_triangle,triangle,3001,24.579618,20.0,10.0,0.02,69.275477
2026-03-19T03:52:35.352715+00:00,single_triangle,triangle,3001,23.766951,20.0,10.0,0.02,70.291312
2026-03-19T03:52:36.411942+00:00,single_triangle,triangle,3001,22.915479,20.0,10.0,0.02,71.355651
2026-03-19T03:52:37.435579+00:00,single_triangle,triangle,3001,22.068062,20.0,10.0,0.02,72.414922
2026-03-19T03:52:38.485748+00:00,single_triangle,triangle,3001,21.252155,20.0,10.0,0.02,73.434807
2026-03-19T03:52:39.533902+00:00,single_triangle,triangle,3001,20.412603,20.0,10.0,0.02,74.484247
2026-03-19T03:52:40.583326+00:00,single_triangle,triangle,3001,19.570502,20.0,10.0,0.02,75.536873
2026-03-19T03:52:41.635029+00:00,single_triangle,triangle,3001,18.731188,20.0,10.0,0.02,76.586015
2026-03-19T03:52:42.685029+00:00,single_triangle,triangle,3001,17.890361,20.0,10.0,0.02,77.637049
2026-03-19T03:52:43.829593+00:00,single_triangle,triangle,3001,17.049605,20.0,10.0,0.02,78.687994
2026-03-19T03:52:44.838585+00:00,single_triangle,triangle,3001,16.137816,20.0,10.0,0.02,79.82773
2026-03-19T03:52:46.127190+00:00,single_triangle,triangle,3001,15.329101,20.0,10.0,0.02,80.838623
2026-03-19T03:52:47.137412+00:00,single_triangle,triangle,3001,14.295863,20.0,10.0,0.02,82.130171
2026-03-19T03:52:48.156773+00:00,single_triangle,triangle,3001,13.487703,20.0,10.0,0.02,83.140372
2026-03-19T03:52:49.181661+00:00,single_triangle,triangle,3001,12.674595,20.0,10.0,0.02,84.156757
2026-03-19T03:52:50.206125+00:00,single_triangle,triangle,3001,11.854597,20.0,10.0,0.02,85.181753
2026-03-19T03:52:51.229698+00:00,single_triangle,triangle,3001,11.03374,20.0,10.0,0.02,86.207825
2026-03-19T03:52:52.243773+00:00,single_triangle,triangle,3001,10.214948,20.0,10.0,0.02,87.231315
2026-03-19T03:52:53.277090+00:00,single_triangle,triangle,3001,10.597384,20.0,10.0,0.02,88.24673
2026-03-19T03:52:54.291241+00:00,single_triangle,triangle,3001,11.424056,20.0,10.0,0.02,89.28007
2026-03-19T03:52:55.304080+00:00,single_triangle,triangle,3001,12.235376,20.0,10.0,0.02,90.29422
2026-03-19T03:52:56.314572+00:00,single_triangle,triangle,3001,13.043047,20.0,10.0,0.02,91.303809
2026-03-19T03:52:57.359243+00:00,single_triangle,triangle,3001,13.853236,20.0,10.0,0.02,92.316545
2026-03-19T03:52:58.410345+00:00,single_triangle,triangle,3001,14.686205,20.0,10.0,0.02,93.357756
2026-03-19T03:52:59.458453+00:00,single_triangle,triangle,3001,15.530628,20.0,10.0,0.02,94.413285
2026-03-19T03:53:00.507280+00:00,single_triangle,triangle,3001,16.369131,20.0,10.0,0.02,95.461414
2026-03-19T03:53:01.554790+00:00,single_triangle,triangle,3001,17.20819,20.0,10.0,0.02,96.510238
2026-03-19T03:53:02.605249+00:00,single_triangle,triangle,3001,18.044233,20.0,10.0,0.02,97.555291
2026-03-19T03:53:03.653940+00:00,single_triangle,triangle,3001,18.883098,20.0,10.0,0.02,98.603872
2026-03-19T03:53:04.704171+00:00,single_triangle,triangle,3001,19.72376,20.0,10.0,0.02,99.6547
2026-03-19T03:53:05.757919+00:00,single_triangle,triangle,3001,20.563813,20.0,10.0,0.02,100.704766
2026-03-19T03:53:06.799544+00:00,single_triangle,triangle,3001,21.408733,20.0,10.0,0.02,101.760916
2026-03-19T03:53:07.848680+00:00,single_triangle,triangle,3001,22.24203,20.0,10.0,0.02,102.802537
2026-03-19T03:53:08.891964+00:00,single_triangle,triangle,3001,23.07963,20.0,10.0,0.02,103.849537
2026-03-19T03:53:09.943115+00:00,single_triangle,triangle,3001,23.915911,20.0,10.0,0.02,104.894889
2026-03-19T03:53:10.991402+00:00,single_triangle,triangle,3001,24.75689,20.0,10.0,0.02,105.946113
2026-03-19T03:53:12.040850+00:00,single_triangle,triangle,3001,25.591914,20.0,10.0,0.02,106.989893
2026-03-19T03:53:13.089591+00:00,single_triangle,triangle,3001,26.43504,20.0,10.0,0.02,108.0438
2026-03-19T03:53:14.135555+00:00,single_triangle,triangle,3001,27.271721,20.0,10.0,0.02,109.089651
2026-03-19T03:53:15.187515+00:00,single_triangle,triangle,3001,28.109133,20.0,10.0,0.02,110.136416
2026-03-19T03:53:16.233475+00:00,single_triangle,triangle,3001,28.95239,20.0,10.0,0.02,111.190487
2026-03-19T03:53:17.282255+00:00,single_triangle,triangle,3001,29.788187,20.0,10.0,0.02,112.235233
2026-03-19T03:53:18.386241+00:00,single_triangle,triangle,3001,29.371802,20.0,10.0,0.02,113.285248
2026-03-19T03:53:19.398640+00:00,single_triangle,triangle,3001,28.488617,20.0,10.0,0.02,114.389229
2026-03-19T03:53:20.428721+00:00,single_triangle,triangle,3001,27.678715,20.0,10.0,0.02,115.401606
2026-03-19T03:53:21.477858+00:00,single_triangle,triangle,3001,26.857333,20.0,10.0,0.02,116.428333
2026-03-19T03:53:22.527176+00:00,single_triangle,triangle,3001,26.018195,20.0,10.0,0.02,117.477256
2026-03-19T03:53:23.721300+00:00,single_triangle,triangle,3001,25.176843,20.0,10.0,0.02,118.528946
2026-03-19T03:53:24.734825+00:00,single_triangle,triangle,3001,24.220588,20.0,10.0,0.02,119.724265
