timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:34:10.762000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:10.814000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:10.865000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:10.918000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:10.970000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.022000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.074000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.125000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.177000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.234000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.289000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.349000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.400000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.451000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.505000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.558000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.609000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.662000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.713000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.766000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.816000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.867000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.919000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:11.972000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.024000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.075000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.127000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.181000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.234000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.287000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.344000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.400000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.454000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.505000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.554000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.605000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.655000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.707000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.761000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.816000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.868000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.920000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
2026-03-16T18:34:12.975000+00:00,BELIMO-8,P3_LOW_TRIANGLE_001,triangle,20.0,10.0,0.02,slow ramp tracking and hysteresis in low region,unreviewed,,,89.94,90.0,0.0,0.0,26.700000000000003,0,2003
