logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:53:35.564394+00:00,single_triangle,triangle,3002,50.0,50.0,20.0,0.02,0.0
2026-03-19T03:53:36.583555+00:00,single_triangle,triangle,3002,51.638123,50.0,20.0,0.02,1.023827
2026-03-19T03:53:37.598381+00:00,single_triangle,triangle,3002,53.268838,50.0,20.0,0.02,2.043024
2026-03-19T03:53:38.609141+00:00,single_triangle,triangle,3002,54.888771,50.0,20.0,0.02,3.055482
2026-03-19T03:53:39.623290+00:00,single_triangle,triangle,3002,56.509764,50.0,20.0,0.02,4.068603
2026-03-19T03:53:40.634608+00:00,single_triangle,triangle,3002,58.128692,50.0,20.0,0.02,5.080433
2026-03-19T03:53:41.647076+00:00,single_triangle,triangle,3002,59.750471,50.0,20.0,0.02,6.094045
2026-03-19T03:53:42.660085+00:00,single_triangle,triangle,3002,61.368685,50.0,20.0,0.02,7.105428
2026-03-19T03:53:43.670829+00:00,single_triangle,triangle,3002,62.99129,50.0,20.0,0.02,8.119556
2026-03-19T03:53:44.679331+00:00,single_triangle,triangle,3002,64.601977,50.0,20.0,0.02,9.126236
2026-03-19T03:53:45.707068+00:00,single_triangle,triangle,3002,66.222071,50.0,20.0,0.02,10.138795
2026-03-19T03:53:46.731347+00:00,single_triangle,triangle,3002,67.866412,50.0,20.0,0.02,11.166507
2026-03-19T03:53:47.745233+00:00,single_triangle,triangle,3002,69.505292,50.0,20.0,0.02,12.190808
2026-03-19T03:53:48.758322+00:00,single_triangle,triangle,3002,68.872474,50.0,20.0,0.02,13.204703
2026-03-19T03:53:49.787893+00:00,single_triangle,triangle,3002,67.253808,50.0,20.0,0.02,14.21637
2026-03-19T03:53:50.834400+00:00,single_triangle,triangle,3002,65.604798,50.0,20.0,0.02,15.247001
2026-03-19T03:53:51.893671+00:00,single_triangle,triangle,3002,63.930067,50.0,20.0,0.02,16.293708
2026-03-19T03:53:52.931415+00:00,single_triangle,triangle,3002,62.234922,50.0,20.0,0.02,17.353174
2026-03-19T03:53:53.984741+00:00,single_triangle,triangle,3002,60.579787,50.0,20.0,0.02,18.387633
2026-03-19T03:53:55.035746+00:00,single_triangle,triangle,3002,58.893663,50.0,20.0,0.02,19.441461
2026-03-19T03:53:56.079618+00:00,single_triangle,triangle,3002,57.212754,50.0,20.0,0.02,20.492029
2026-03-19T03:53:57.125152+00:00,single_triangle,triangle,3002,55.544895,50.0,20.0,0.02,21.534441
2026-03-19T03:53:58.190101+00:00,single_triangle,triangle,3002,53.867395,50.0,20.0,0.02,22.582878
2026-03-19T03:53:59.222113+00:00,single_triangle,triangle,3002,52.166573,50.0,20.0,0.02,23.645892
2026-03-19T03:54:00.290980+00:00,single_triangle,triangle,3002,50.509543,50.0,20.0,0.02,24.681535
2026-03-19T03:54:01.323029+00:00,single_triangle,triangle,3002,48.80066,50.0,20.0,0.02,25.749587
2026-03-19T03:54:02.586040+00:00,single_triangle,triangle,3002,47.151873,50.0,20.0,0.02,26.78008
2026-03-19T03:54:03.598764+00:00,single_triangle,triangle,3002,45.127142,50.0,20.0,0.02,28.045536
2026-03-19T03:54:04.643213+00:00,single_triangle,triangle,3002,43.50746,50.0,20.0,0.02,29.057837
2026-03-19T03:54:05.665487+00:00,single_triangle,triangle,3002,41.836712,50.0,20.0,0.02,30.102055
2026-03-19T03:54:06.678263+00:00,single_triangle,triangle,3002,40.205036,50.0,20.0,0.02,31.121853
2026-03-19T03:54:07.694523+00:00,single_triangle,triangle,3002,38.580096,50.0,20.0,0.02,32.13744
2026-03-19T03:54:08.719924+00:00,single_triangle,triangle,3002,36.953604,50.0,20.0,0.02,33.153998
2026-03-19T03:54:09.738992+00:00,single_triangle,triangle,3002,35.314073,50.0,20.0,0.02,34.178704
2026-03-19T03:54:10.784983+00:00,single_triangle,triangle,3002,33.688566,50.0,20.0,0.02,35.194646
2026-03-19T03:54:11.808374+00:00,single_triangle,triangle,3002,32.01353,50.0,20.0,0.02,36.241544
2026-03-19T03:54:12.854362+00:00,single_triangle,triangle,3002,30.371488,50.0,20.0,0.02,37.26782
2026-03-19T03:54:13.906392+00:00,single_triangle,triangle,3002,31.294848,50.0,20.0,0.02,38.30928
2026-03-19T03:54:15.050235+00:00,single_triangle,triangle,3002,32.985395,50.0,20.0,0.02,39.365872
2026-03-19T03:54:16.075423+00:00,single_triangle,triangle,3002,34.807925,50.0,20.0,0.02,40.504953
2026-03-19T03:54:17.100151+00:00,single_triangle,triangle,3002,36.448249,50.0,20.0,0.02,41.530156
2026-03-19T03:54:18.113733+00:00,single_triangle,triangle,3002,38.094361,50.0,20.0,0.02,42.558976
2026-03-19T03:54:19.145258+00:00,single_triangle,triangle,3002,39.717091,50.0,20.0,0.02,43.573182
2026-03-19T03:54:20.193864+00:00,single_triangle,triangle,3002,41.365714,50.0,20.0,0.02,44.603571
2026-03-19T03:54:21.242788+00:00,single_triangle,triangle,3002,43.045369,50.0,20.0,0.02,45.653356
2026-03-19T03:54:22.294217+00:00,single_triangle,triangle,3002,44.720752,50.0,20.0,0.02,46.70047
2026-03-19T03:54:23.339595+00:00,single_triangle,triangle,3002,46.405686,50.0,20.0,0.02,47.753554
2026-03-19T03:54:24.390502+00:00,single_triangle,triangle,3002,48.072957,50.0,20.0,0.02,48.795598
2026-03-19T03:54:25.439719+00:00,single_triangle,triangle,3002,49.759877,50.0,20.0,0.02,49.849923
2026-03-19T03:54:26.492353+00:00,single_triangle,triangle,3002,51.438718,50.0,20.0,0.02,50.899199
2026-03-19T03:54:27.536203+00:00,single_triangle,triangle,3002,53.122941,50.0,20.0,0.02,51.951838
2026-03-19T03:54:28.584929+00:00,single_triangle,triangle,3002,54.793106,50.0,20.0,0.02,52.995691
2026-03-19T03:54:29.633646+00:00,single_triangle,triangle,3002,56.466195,50.0,20.0,0.02,54.041372
