logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T03:57:56.565393+00:00,single_sine,sine,4001,50.0,50.0,10.0,0.02,0.0
2026-03-19T03:57:57.579434+00:00,single_sine,sine,4001,51.277533,50.0,10.0,0.02,1.019415
2026-03-19T03:57:58.609462+00:00,single_sine,sine,4001,52.522915,50.0,10.0,0.02,2.029605
2026-03-19T03:57:59.622215+00:00,single_sine,sine,4001,53.754155,50.0,10.0,0.02,3.0625
2026-03-19T03:58:00.636575+00:00,single_sine,sine,4001,54.90132,50.0,10.0,0.02,4.076286
2026-03-19T03:58:01.648766+00:00,single_sine,sine,4001,55.967905,50.0,10.0,0.02,5.088941
2026-03-19T03:58:02.664229+00:00,single_sine,sine,4001,56.937449,50.0,10.0,0.02,6.101012
2026-03-19T03:58:03.678457+00:00,single_sine,sine,4001,57.795612,50.0,10.0,0.02,7.113946
2026-03-19T03:58:04.691711+00:00,single_sine,sine,4001,58.530305,50.0,10.0,0.02,8.130949
2026-03-19T03:58:05.701799+00:00,single_sine,sine,4001,59.124745,50.0,10.0,0.02,9.145775
2026-03-19T03:58:06.715043+00:00,single_sine,sine,4001,59.569267,50.0,10.0,0.02,10.155875
2026-03-19T03:58:07.730525+00:00,single_sine,sine,4001,59.86047,50.0,10.0,0.02,11.169099
2026-03-19T03:58:08.785397+00:00,single_sine,sine,4001,59.992145,50.0,10.0,0.02,12.184572
2026-03-19T03:58:09.829430+00:00,single_sine,sine,4001,59.956857,50.0,10.0,0.02,13.239464
2026-03-19T03:58:10.881034+00:00,single_sine,sine,4001,59.750732,50.0,10.0,0.02,14.280511
2026-03-19T03:58:12.355246+00:00,single_sine,sine,4001,59.37206,50.0,10.0,0.02,15.335069
2026-03-19T03:58:13.371916+00:00,single_sine,sine,4001,58.572095,50.0,10.0,0.02,16.804903
2026-03-19T03:58:14.410341+00:00,single_sine,sine,4001,57.843545,50.0,10.0,0.02,17.824858
2026-03-19T03:58:15.432413+00:00,single_sine,sine,4001,56.97295,50.0,10.0,0.02,18.859669
2026-03-19T03:58:16.455586+00:00,single_sine,sine,4001,55.992661,50.0,10.0,0.02,19.886479
2026-03-19T03:58:17.492611+00:00,single_sine,sine,4001,54.917913,50.0,10.0,0.02,20.908557
2026-03-19T03:58:18.506440+00:00,single_sine,sine,4001,53.743449,50.0,10.0,0.02,21.94669
2026-03-19T03:58:19.522578+00:00,single_sine,sine,4001,52.540873,50.0,10.0,0.02,22.955623
2026-03-19T03:58:20.538628+00:00,single_sine,sine,4001,51.282421,50.0,10.0,0.02,23.976663
2026-03-19T03:58:21.592693+00:00,single_sine,sine,4001,50.00919,50.0,10.0,0.02,24.992686
2026-03-19T03:58:22.607136+00:00,single_sine,sine,4001,48.68932,50.0,10.0,0.02,26.046016
2026-03-19T03:58:23.623741+00:00,single_sine,sine,4001,47.440324,50.0,10.0,0.02,27.059851
2026-03-19T03:58:24.640345+00:00,single_sine,sine,4001,46.228466,50.0,10.0,0.02,28.077426
2026-03-19T03:58:25.654004+00:00,single_sine,sine,4001,45.078796,50.0,10.0,0.02,29.094451
2026-03-19T03:58:26.663334+00:00,single_sine,sine,4001,44.01608,50.0,10.0,0.02,30.104836
2026-03-19T03:58:27.703252+00:00,single_sine,sine,4001,43.048683,50.0,10.0,0.02,31.116349
2026-03-19T03:58:28.758743+00:00,single_sine,sine,4001,42.171771,50.0,10.0,0.02,32.155523
2026-03-19T03:58:29.773196+00:00,single_sine,sine,4001,41.41646,50.0,10.0,0.02,33.212815
2026-03-19T03:58:30.801351+00:00,single_sine,sine,4001,40.83383,50.0,10.0,0.02,34.22728
2026-03-19T03:58:31.851914+00:00,single_sine,sine,4001,40.396064,50.0,10.0,0.02,35.252852
2026-03-19T03:58:33.132453+00:00,single_sine,sine,4001,40.11268,50.0,10.0,0.02,36.304259
2026-03-19T03:58:34.179119+00:00,single_sine,sine,4001,40.000591,50.0,10.0,0.02,37.586541
2026-03-19T03:58:35.215775+00:00,single_sine,sine,4001,40.100522,50.0,10.0,0.02,38.629274
2026-03-19T03:58:36.229144+00:00,single_sine,sine,4001,40.367784,50.0,10.0,0.02,39.664921
2026-03-19T03:58:37.248264+00:00,single_sine,sine,4001,40.789302,50.0,10.0,0.02,40.682919
2026-03-19T03:58:38.261483+00:00,single_sine,sine,4001,41.362246,50.0,10.0,0.02,41.702338
2026-03-19T03:58:39.274947+00:00,single_sine,sine,4001,42.071995,50.0,10.0,0.02,42.715555
2026-03-19T03:58:40.290651+00:00,single_sine,sine,4001,42.909693,50.0,10.0,0.02,43.728319
2026-03-19T03:58:41.316020+00:00,single_sine,sine,4001,43.865696,50.0,10.0,0.02,44.744728
2026-03-19T03:58:42.335836+00:00,single_sine,sine,4001,44.931358,50.0,10.0,0.02,45.770114
2026-03-19T03:58:43.383263+00:00,single_sine,sine,4001,46.074615,50.0,10.0,0.02,46.789924
2026-03-19T03:58:44.433293+00:00,single_sine,sine,4001,47.315286,50.0,10.0,0.02,47.837038
2026-03-19T03:58:45.702635+00:00,single_sine,sine,4001,48.603718,50.0,10.0,0.02,48.885232
2026-03-19T03:58:46.715342+00:00,single_sine,sine,4001,50.196927,50.0,10.0,0.02,50.15672
2026-03-19T03:58:47.726684+00:00,single_sine,sine,4001,51.460673,50.0,10.0,0.02,51.16654
2026-03-19T03:58:48.740724+00:00,single_sine,sine,4001,52.706248,50.0,10.0,0.02,52.180757
2026-03-19T03:58:49.754992+00:00,single_sine,sine,4001,53.907724,50.0,10.0,0.02,53.194801
2026-03-19T03:58:50.784793+00:00,single_sine,sine,4001,55.042548,50.0,10.0,0.02,54.205819
2026-03-19T03:58:51.858523+00:00,single_sine,sine,4001,56.118014,50.0,10.0,0.02,55.238871
2026-03-19T03:58:52.869386+00:00,single_sine,sine,4001,57.123719,50.0,10.0,0.02,56.309477
2026-03-19T03:58:53.880615+00:00,single_sine,sine,4001,57.955273,50.0,10.0,0.02,57.320151
2026-03-19T03:58:54.921626+00:00,single_sine,sine,4001,58.661102,50.0,10.0,0.02,58.334682
2026-03-19T03:58:55.995300+00:00,single_sine,sine,4001,59.239141,50.0,10.0,0.02,59.375718
2026-03-19T03:58:57.018068+00:00,single_sine,sine,4001,59.669599,50.0,10.0,0.02,60.4487
2026-03-19T03:58:58.064554+00:00,single_sine,sine,4001,59.915953,50.0,10.0,0.02,61.467548
2026-03-19T03:58:59.119273+00:00,single_sine,sine,4001,59.999973,50.0,10.0,0.02,62.518636
2026-03-19T03:59:00.159237+00:00,single_sine,sine,4001,59.909168,50.0,10.0,0.02,63.573381
2026-03-19T03:59:01.211504+00:00,single_sine,sine,4001,59.649436,50.0,10.0,0.02,64.613324
2026-03-19T03:59:02.258457+00:00,single_sine,sine,4001,59.220771,50.0,10.0,0.02,65.66227
2026-03-19T03:59:03.310754+00:00,single_sine,sine,4001,58.631275,50.0,10.0,0.02,66.71256
2026-03-19T03:59:04.357173+00:00,single_sine,sine,4001,57.890097,50.0,10.0,0.02,67.764853
2026-03-19T03:59:05.403944+00:00,single_sine,sine,4001,57.016419,50.0,10.0,0.02,68.811266
2026-03-19T03:59:06.485364+00:00,single_sine,sine,4001,56.02123,50.0,10.0,0.02,69.858042
2026-03-19T03:59:07.500550+00:00,single_sine,sine,4001,54.88433,50.0,10.0,0.02,70.939216
2026-03-19T03:59:08.557447+00:00,single_sine,sine,4001,53.73675,50.0,10.0,0.02,71.952438
2026-03-19T03:59:09.605530+00:00,single_sine,sine,4001,52.477111,50.0,10.0,0.02,73.008041
2026-03-19T03:59:10.647989+00:00,single_sine,sine,4001,51.178966,50.0,10.0,0.02,74.059622
2026-03-19T03:59:11.701350+00:00,single_sine,sine,4001,49.874135,50.0,10.0,0.02,75.100163
2026-03-19T03:59:12.748013+00:00,single_sine,sine,4001,48.555731,50.0,10.0,0.02,76.153347
2026-03-19T03:59:13.795124+00:00,single_sine,sine,4001,47.267813,50.0,10.0,0.02,77.202207
2026-03-19T03:59:14.844678+00:00,single_sine,sine,4001,46.035049,50.0,10.0,0.02,78.244341
2026-03-19T03:59:15.893736+00:00,single_sine,sine,4001,44.85694,50.0,10.0,0.02,79.29876
2026-03-19T03:59:16.951063+00:00,single_sine,sine,4001,43.77596,50.0,10.0,0.02,80.346097
2026-03-19T03:59:17.985845+00:00,single_sine,sine,4001,42.792492,50.0,10.0,0.02,81.40507
2026-03-19T03:59:19.034510+00:00,single_sine,sine,4001,41.954422,50.0,10.0,0.02,82.43994
2026-03-19T03:59:20.096493+00:00,single_sine,sine,4001,41.24663,50.0,10.0,0.02,83.484012
2026-03-19T03:59:21.159670+00:00,single_sine,sine,4001,40.679017,50.0,10.0,0.02,84.550598
2026-03-19T03:59:22.179138+00:00,single_sine,sine,4001,40.279611,50.0,10.0,0.02,85.613749
2026-03-19T03:59:23.229249+00:00,single_sine,sine,4001,40.059371,50.0,10.0,0.02,86.632426
2026-03-19T03:59:24.279166+00:00,single_sine,sine,4001,40.002641,50.0,10.0,0.02,87.682879
2026-03-19T03:59:25.325370+00:00,single_sine,sine,4001,40.118937,50.0,10.0,0.02,88.728558
2026-03-19T03:59:26.374896+00:00,single_sine,sine,4001,40.407446,50.0,10.0,0.02,89.779429
2026-03-19T03:59:27.425705+00:00,single_sine,sine,4001,40.861535,50.0,10.0,0.02,90.827439
2026-03-19T03:59:28.485817+00:00,single_sine,sine,4001,41.476758,50.0,10.0,0.02,91.87981
2026-03-19T03:59:29.538647+00:00,single_sine,sine,4001,42.244074,50.0,10.0,0.02,92.936279
2026-03-19T03:59:30.570128+00:00,single_sine,sine,4001,43.147393,50.0,10.0,0.02,93.992207
2026-03-19T03:59:31.640481+00:00,single_sine,sine,4001,44.142147,50.0,10.0,0.02,95.019655
2026-03-19T03:59:32.665824+00:00,single_sine,sine,4001,45.284313,50.0,10.0,0.02,96.092198
2026-03-19T03:59:33.715174+00:00,single_sine,sine,4001,46.459355,50.0,10.0,0.02,97.119983
2026-03-19T03:59:34.787241+00:00,single_sine,sine,4001,47.715822,50.0,10.0,0.02,98.166119
2026-03-19T03:59:35.815765+00:00,single_sine,sine,4001,49.048063,50.0,10.0,0.02,99.241324
2026-03-19T03:59:36.858922+00:00,single_sine,sine,4001,50.339035,50.0,10.0,0.02,100.269847
2026-03-19T03:59:37.922915+00:00,single_sine,sine,4001,51.642473,50.0,10.0,0.02,101.312988
2026-03-19T03:59:38.957100+00:00,single_sine,sine,4001,52.942982,50.0,10.0,0.02,102.377147
2026-03-19T03:59:40.012974+00:00,single_sine,sine,4001,54.152583,50.0,10.0,0.02,103.40772
2026-03-19T03:59:41.057086+00:00,single_sine,sine,4001,55.323289,50.0,10.0,0.02,104.467076
2026-03-19T03:59:42.101001+00:00,single_sine,sine,4001,56.385062,50.0,10.0,0.02,105.511183
2026-03-19T03:59:43.149331+00:00,single_sine,sine,4001,57.33292,50.0,10.0,0.02,106.550429
2026-03-19T03:59:44.215680+00:00,single_sine,sine,4001,58.165885,50.0,10.0,0.02,107.603435
2026-03-19T03:59:45.269421+00:00,single_sine,sine,4001,58.863851,50.0,10.0,0.02,108.669787
2026-03-19T03:59:46.296038+00:00,single_sine,sine,4001,59.395962,50.0,10.0,0.02,109.719979
2026-03-19T03:59:47.352346+00:00,single_sine,sine,4001,59.759208,50.0,10.0,0.02,110.750148
2026-03-19T03:59:48.392926+00:00,single_sine,sine,4001,59.962048,50.0,10.0,0.02,111.806482
2026-03-19T03:59:49.443409+00:00,single_sine,sine,4001,59.990492,50.0,10.0,0.02,112.847045
2026-03-19T03:59:50.488733+00:00,single_sine,sine,4001,59.846188,50.0,10.0,0.02,113.897521
2026-03-19T03:59:51.756588+00:00,single_sine,sine,4001,59.532515,50.0,10.0,0.02,114.942842
2026-03-19T03:59:52.769547+00:00,single_sine,sine,4001,58.932381,50.0,10.0,0.02,116.210694
2026-03-19T03:59:53.787648+00:00,single_sine,sine,4001,58.289426,50.0,10.0,0.02,117.223574
2026-03-19T03:59:54.806130+00:00,single_sine,sine,4001,57.512121,50.0,10.0,0.02,118.236738
2026-03-19T03:59:55.829585+00:00,single_sine,sine,4001,56.603459,50.0,10.0,0.02,119.260242
2026-03-19T03:59:57.062665+00:00,single_sine,sine,4001,55.58962,50.0,10.0,0.02,120.279994
2026-03-19T03:59:58.092646+00:00,single_sine,sine,4001,54.243267,50.0,10.0,0.02,121.51277
2026-03-19T03:59:59.114510+00:00,single_sine,sine,4001,53.036303,50.0,10.0,0.02,122.545031
2026-03-19T04:00:00.146037+00:00,single_sine,sine,4001,51.789349,50.0,10.0,0.02,123.568372
2026-03-19T04:00:01.157130+00:00,single_sine,sine,4001,50.502331,50.0,10.0,0.02,124.600089
2026-03-19T04:00:02.171648+00:00,single_sine,sine,4001,49.232582,50.0,10.0,0.02,125.611293
2026-03-19T04:00:03.188667+00:00,single_sine,sine,4001,47.971197,50.0,10.0,0.02,126.625756
2026-03-19T04:00:04.202602+00:00,single_sine,sine,4001,46.73972,50.0,10.0,0.02,127.64276
2026-03-19T04:00:05.241375+00:00,single_sine,sine,4001,45.564843,50.0,10.0,0.02,128.656724
2026-03-19T04:00:06.251158+00:00,single_sine,sine,4001,44.436496,50.0,10.0,0.02,129.694969
2026-03-19T04:00:07.292943+00:00,single_sine,sine,4001,43.430038,50.0,10.0,0.02,130.704332
2026-03-19T04:00:08.315921+00:00,single_sine,sine,4001,42.501342,50.0,10.0,0.02,131.747049
2026-03-19T04:00:09.365158+00:00,single_sine,sine,4001,41.715106,50.0,10.0,0.02,132.769982
2026-03-19T04:00:10.414149+00:00,single_sine,sine,4001,41.050755,50.0,10.0,0.02,133.819268
2026-03-19T04:00:11.487429+00:00,single_sine,sine,4001,40.54189,50.0,10.0,0.02,134.868269
2026-03-19T04:00:12.510854+00:00,single_sine,sine,4001,40.192119,50.0,10.0,0.02,135.937613
2026-03-19T04:00:13.560146+00:00,single_sine,sine,4001,40.02289,50.0,10.0,0.02,136.961464
2026-03-19T04:00:14.620663+00:00,single_sine,sine,4001,40.020874,50.0,10.0,0.02,138.014265
2026-03-19T04:00:15.654812+00:00,single_sine,sine,4001,40.194216,50.0,10.0,0.02,139.070914
