timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:40:42.272000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.325000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.377000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.428000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.480000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.531000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.583000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.635000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.686000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.739000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.807000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.864000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.914000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:42.964000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.018000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.070000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.122000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.172000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.224000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.275000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.327000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.379000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.400000000000002,0,3003
2026-03-16T18:40:43.430000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.482000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.533000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.585000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.636000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.688000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
2026-03-16T18:40:43.739000+00:00,BELIMO-8,P4_MID_SINE_LOW_001,sine,50.0,10.0,0.02,low-frequency smooth dynamic characterization at mid bias,unreviewed,,,70.59,71.123305,0.0,0.0,28.3,0,3003
