logged_at,phase_name,mode,test_number,setpoint_position_%,bias,amplitude,frequency,elapsed_phase_seconds
2026-03-19T04:01:07.341110+00:00,single_sine,sine,4002,50.0,50.0,10.0,0.04,0.0
2026-03-19T04:01:08.357450+00:00,single_sine,sine,4002,52.528238,50.0,10.0,0.04,1.016991
2026-03-19T04:01:09.371032+00:00,single_sine,sine,4002,54.890906,50.0,10.0,0.04,2.033391
2026-03-19T04:01:10.391838+00:00,single_sine,sine,4002,56.931097,50.0,10.0,0.04,3.046998
2026-03-19T04:01:11.407167+00:00,single_sine,sine,4002,58.53238,50.0,10.0,0.04,4.067057
2026-03-19T04:01:12.422523+00:00,single_sine,sine,4002,59.572763,50.0,10.0,0.04,5.082739
2026-03-19T04:01:13.437509+00:00,single_sine,sine,4002,59.992749,50.0,10.0,0.04,6.098469
2026-03-19T04:01:14.451283+00:00,single_sine,sine,4002,59.765458,50.0,10.0,0.04,7.113451
2026-03-19T04:01:15.578276+00:00,single_sine,sine,4002,58.910762,50.0,10.0,0.04,8.124389
2026-03-19T04:01:16.588533+00:00,single_sine,sine,4002,57.282409,50.0,10.0,0.04,9.254227
2026-03-19T04:01:17.611503+00:00,single_sine,sine,4002,55.32754,50.0,10.0,0.04,10.264464
2026-03-19T04:01:18.626227+00:00,single_sine,sine,4002,53.00061,50.0,10.0,0.04,11.287412
2026-03-19T04:01:19.648289+00:00,single_sine,sine,4002,50.497045,50.0,10.0,0.04,12.302151
2026-03-19T04:01:20.667780+00:00,single_sine,sine,4002,47.95454,50.0,10.0,0.04,13.319647
2026-03-19T04:01:21.717450+00:00,single_sine,sine,4002,45.535347,50.0,10.0,0.04,14.341467
2026-03-19T04:01:22.770804+00:00,single_sine,sine,4002,43.355749,50.0,10.0,0.04,15.391544
2026-03-19T04:01:23.820941+00:00,single_sine,sine,4002,41.631415,50.0,10.0,0.04,16.445129
2026-03-19T04:01:24.866779+00:00,single_sine,sine,4002,40.491847,50.0,10.0,0.04,17.496898
2026-03-19T04:01:25.946121+00:00,single_sine,sine,4002,40.013797,50.0,10.0,0.04,18.540968
2026-03-19T04:01:26.989162+00:00,single_sine,sine,4002,40.239224,50.0,10.0,0.04,19.622062
2026-03-19T04:01:28.027062+00:00,single_sine,sine,4002,41.131747,50.0,10.0,0.04,20.66132
2026-03-19T04:01:29.057540+00:00,single_sine,sine,4002,42.625396,50.0,10.0,0.04,21.700311
2026-03-19T04:01:30.104457+00:00,single_sine,sine,4002,44.604828,50.0,10.0,0.04,22.732585
2026-03-19T04:01:31.154377+00:00,single_sine,sine,4002,46.975765,50.0,10.0,0.04,23.777554
2026-03-19T04:01:32.201582+00:00,single_sine,sine,4002,49.565508,50.0,10.0,0.04,24.827067
2026-03-19T04:01:33.260735+00:00,single_sine,sine,4002,52.188531,50.0,10.0,0.04,25.877894
2026-03-19T04:01:34.311497+00:00,single_sine,sine,4002,54.676572,50.0,10.0,0.04,26.936273
2026-03-19T04:01:35.348159+00:00,single_sine,sine,4002,56.821055,50.0,10.0,0.04,27.986694
2026-03-19T04:01:36.404090+00:00,single_sine,sine,4002,58.47557,50.0,10.0,0.04,29.024093
2026-03-19T04:01:37.465490+00:00,single_sine,sine,4002,59.568417,50.0,10.0,0.04,30.076774
2026-03-19T04:01:38.511115+00:00,single_sine,sine,4002,59.996275,50.0,10.0,0.04,31.141398
2026-03-19T04:01:39.541757+00:00,single_sine,sine,4002,59.723955,50.0,10.0,0.04,32.187063
2026-03-19T04:01:40.594560+00:00,single_sine,sine,4002,58.801867,50.0,10.0,0.04,33.217716
2026-03-19T04:01:41.638477+00:00,single_sine,sine,4002,57.254313,50.0,10.0,0.04,34.270504
2026-03-19T04:01:42.688567+00:00,single_sine,sine,4002,55.222523,50.0,10.0,0.04,35.313649
2026-03-19T04:01:43.748802+00:00,single_sine,sine,4002,52.822252,50.0,10.0,0.04,36.361593
2026-03-19T04:01:44.789971+00:00,single_sine,sine,4002,50.190428,50.0,10.0,0.04,37.424226
2026-03-19T04:01:45.833547+00:00,single_sine,sine,4002,47.606741,50.0,10.0,0.04,38.46158
2026-03-19T04:01:46.886318+00:00,single_sine,sine,4002,45.167811,50.0,10.0,0.04,39.506656
2026-03-19T04:01:47.931571+00:00,single_sine,sine,4002,43.047985,50.0,10.0,0.04,40.558561
2026-03-19T04:01:48.980557+00:00,single_sine,sine,4002,41.415072,50.0,10.0,0.04,41.607484
2026-03-19T04:01:50.026531+00:00,single_sine,sine,4002,40.376818,50.0,10.0,0.04,42.654243
2026-03-19T04:01:51.078359+00:00,single_sine,sine,4002,40.000787,50.0,10.0,0.04,43.700095
2026-03-19T04:01:52.124202+00:00,single_sine,sine,4002,40.316866,50.0,10.0,0.04,44.754307
2026-03-19T04:01:53.192124+00:00,single_sine,sine,4002,41.297508,50.0,10.0,0.04,45.799472
2026-03-19T04:01:54.225921+00:00,single_sine,sine,4002,42.916601,50.0,10.0,0.04,46.868055
2026-03-19T04:01:55.284507+00:00,single_sine,sine,4002,44.967813,50.0,10.0,0.04,47.901863
2026-03-19T04:01:56.322360+00:00,single_sine,sine,4002,47.416888,50.0,10.0,0.04,48.960425
2026-03-19T04:01:57.369043+00:00,single_sine,sine,4002,49.986884,50.0,10.0,0.04,49.994782
2026-03-19T04:01:58.437832+00:00,single_sine,sine,4002,52.58755,50.0,10.0,0.04,51.041403
2026-03-19T04:01:59.493146+00:00,single_sine,sine,4002,55.066175,50.0,10.0,0.04,52.113805
2026-03-19T04:02:00.510819+00:00,single_sine,sine,4002,57.149079,50.0,10.0,0.04,53.169142
2026-03-19T04:02:01.559149+00:00,single_sine,sine,4002,58.681302,50.0,10.0,0.04,54.183478
2026-03-19T04:02:02.607467+00:00,single_sine,sine,4002,59.676476,50.0,10.0,0.04,55.23514
2026-03-19T04:02:03.658930+00:00,single_sine,sine,4002,59.999648,50.0,10.0,0.04,56.283386
2026-03-19T04:02:04.809854+00:00,single_sine,sine,4002,59.630553,50.0,10.0,0.04,57.33492
2026-03-19T04:02:05.832296+00:00,single_sine,sine,4002,58.46231,50.0,10.0,0.04,58.485829
